date,prodId,category,daily_sales_qty,currentQuantity,unitCost,incomingStock,lead_time_days,safety_stock
2025-10-10,ITM-001,Electronics,6,111,400,31,6,40
2025-10-10,ITM-009,Furniture,9,72,450,8,3,40
2025-10-10,ITM-007,Accessories,6,144,25,1,5,40
2025-10-10,ITM-006,Accessories,6,133,40,33,3,40
2025-10-11,ITM-008,Electronics,10,60,300,23,4,40
2025-10-11,ITM-004,Furniture,4,91,45,16,4,40
2025-10-11,ITM-003,Furniture,10,103,150,9,4,40
2025-10-11,ITM-002,Electronics,9,17,800,49,6,40
2025-10-11,ITM-005,Accessories,17,112,90,6,6,40
2025-10-11,ITM-010,Electronics,1,103,200,3,5,40
2025-10-11,ITM-001,Electronics,6,67,400,31,5,40
2025-10-11,ITM-007,Accessories,10,139,25,1,3,40
2025-10-11,ITM-006,Accessories,6,52,40,33,5,40
2025-10-12,ITM-008,Electronics,8,64,300,23,3,40
2025-10-12,ITM-004,Furniture,5,101,45,16,6,40
2025-10-12,ITM-003,Furniture,8,31,150,9,5,40
2025-10-12,ITM-002,Electronics,8,29,800,49,5,40
2025-10-12,ITM-005,Accessories,7,89,90,6,6,40
2025-10-12,ITM-010,Electronics,1,134,200,3,7,40
2025-10-12,ITM-001,Electronics,4,22,400,31,6,40
2025-10-12,ITM-009,Furniture,5,101,450,8,3,40
2025-10-12,ITM-007,Accessories,10,45,25,1,5,40
2025-10-12,ITM-006,Accessories,8,116,40,33,5,40
2025-10-13,ITM-008,Electronics,8,73,300,23,4,40
2025-10-13,ITM-004,Furniture,13,35,45,16,5,40
2025-10-13,ITM-003,Furniture,2,103,150,9,6,40
2025-10-13,ITM-005,Accessories,7,82,90,6,7,40
2025-10-13,ITM-009,Furniture,8,101,450,8,7,40
2025-10-13,ITM-007,Accessories,2,137,25,1,4,40
2025-10-13,ITM-006,Accessories,3,74,40,33,3,40
2025-10-14,ITM-004,Furniture,9,80,45,16,6,40
2025-10-14,ITM-003,Furniture,2,113,150,9,6,40
2025-10-14,ITM-002,Electronics,9,107,800,49,5,40
2025-10-14,ITM-005,Accessories,7,79,90,6,6,40
2025-10-14,ITM-001,Electronics,8,84,400,31,7,40
2025-10-14,ITM-009,Furniture,5,80,450,8,5,40
2025-10-14,ITM-007,Accessories,8,81,25,1,7,40
2025-10-14,ITM-006,Accessories,2,16,40,33,3,40
2025-10-15,ITM-008,Electronics,3,135,300,23,6,40
2025-10-15,ITM-004,Furniture,8,138,45,16,3,40
2025-10-15,ITM-003,Furniture,6,46,150,9,4,40
2025-10-15,ITM-002,Electronics,3,80,800,49,5,40
2025-10-15,ITM-005,Accessories,3,82,90,6,4,40
2025-10-15,ITM-010,Electronics,18,58,200,3,3,40
2025-10-15,ITM-001,Electronics,7,70,400,31,6,40
2025-10-15,ITM-009,Furniture,18,124,450,8,3,40
2025-10-15,ITM-007,Accessories,9,76,25,1,5,40
2025-10-15,ITM-006,Accessories,9,64,40,33,5,40
2025-10-16,ITM-004,Furniture,8,135,45,16,6,40
2025-10-16,ITM-003,Furniture,1,104,150,9,5,40
2025-10-16,ITM-005,Accessories,8,107,90,6,4,40
2025-10-16,ITM-010,Electronics,2,58,200,3,5,40
2025-10-16,ITM-001,Electronics,6,145,400,31,5,40
2025-10-16,ITM-009,Furniture,1,126,450,8,4,40
2025-10-16,ITM-007,Accessories,4,118,25,1,3,40
2025-10-16,ITM-006,Accessories,10,127,40,33,5,40
2025-10-17,ITM-004,Furniture,2,111,45,16,7,40
2025-10-17,ITM-005,Accessories,9,136,90,6,7,40
2025-10-17,ITM-001,Electronics,5,130,400,31,4,40
2025-10-17,ITM-007,Accessories,4,31,25,1,4,40
2025-10-17,ITM-006,Accessories,2,62,40,33,6,40
2025-10-18,ITM-008,Electronics,3,128,300,23,4,40
2025-10-18,ITM-004,Furniture,8,31,45,16,5,40
2025-10-18,ITM-003,Furniture,11,49,150,9,5,40
2025-10-18,ITM-002,Electronics,4,63,800,49,3,40
2025-10-18,ITM-005,Accessories,9,93,90,6,6,40
2025-10-18,ITM-010,Electronics,7,91,200,3,4,40
2025-10-18,ITM-001,Electronics,14,52,400,31,7,40
2025-10-18,ITM-009,Furniture,2,27,450,8,5,40
2025-10-18,ITM-007,Accessories,3,141,25,1,7,40
2025-10-18,ITM-006,Accessories,10,10,40,33,4,40
2025-10-19,ITM-002,Electronics,1,24,800,49,4,40
2025-10-19,ITM-005,Accessories,13,91,90,6,5,40
2025-10-19,ITM-001,Electronics,2,49,400,31,3,40
2025-10-19,ITM-007,Accessories,2,12,25,1,4,40
2025-10-20,ITM-008,Electronics,3,85,300,23,6,40
2025-10-20,ITM-004,Furniture,4,96,45,16,6,40
2025-10-20,ITM-003,Furniture,13,131,150,9,6,40
2025-10-20,ITM-002,Electronics,2,92,800,49,5,40
2025-10-20,ITM-005,Accessories,5,129,90,6,5,40
2025-10-20,ITM-010,Electronics,5,103,200,3,6,40
2025-10-20,ITM-001,Electronics,5,86,400,31,7,40
2025-10-20,ITM-009,Furniture,14,114,450,8,5,40
2025-10-20,ITM-007,Accessories,3,36,25,1,7,40
2025-10-20,ITM-006,Accessories,22,10,40,33,3,40
2025-10-21,ITM-008,Electronics,1,85,300,23,7,40
2025-10-21,ITM-004,Furniture,5,116,45,16,5,40
2025-10-21,ITM-003,Furniture,2,35,150,9,4,40
2025-10-21,ITM-005,Accessories,4,42,90,6,6,40
2025-10-21,ITM-010,Electronics,4,129,200,3,7,40
2025-10-21,ITM-001,Electronics,2,115,400,31,7,40
2025-10-21,ITM-009,Furniture,8,119,450,8,5,40
2025-10-21,ITM-006,Accessories,5,23,40,33,6,40
2025-10-22,ITM-008,Electronics,5,129,300,23,5,40
2025-10-22,ITM-004,Furniture,12,128,45,16,5,40
2025-10-22,ITM-003,Furniture,5,15,150,9,3,40
2025-10-22,ITM-002,Electronics,10,117,800,49,6,40
2025-10-22,ITM-005,Accessories,8,109,90,6,6,40
2025-10-22,ITM-010,Electronics,12,91,200,3,6,40
2025-10-22,ITM-001,Electronics,9,31,400,31,7,40
2025-10-22,ITM-009,Furniture,3,74,450,8,5,40
2025-10-22,ITM-007,Accessories,7,47,25,1,4,40
2025-10-23,ITM-008,Electronics,5,92,300,23,4,40
2025-10-23,ITM-004,Furniture,3,134,45,16,7,40
2025-10-23,ITM-003,Furniture,6,132,150,9,5,40
2025-10-23,ITM-005,Accessories,2,67,90,6,4,40
2025-10-23,ITM-010,Electronics,12,87,200,3,5,40
2025-10-23,ITM-007,Accessories,5,93,25,1,5,40
2025-10-23,ITM-006,Accessories,3,40,40,33,5,40
2025-10-24,ITM-004,Furniture,12,99,45,16,7,40
2025-10-24,ITM-003,Furniture,9,136,150,9,7,40
2025-10-24,ITM-002,Electronics,9,11,800,49,7,40
2025-10-24,ITM-005,Accessories,6,89,90,6,5,40
2025-10-24,ITM-010,Electronics,1,145,200,3,4,40
2025-10-24,ITM-009,Furniture,5,121,450,8,3,40
2025-10-24,ITM-007,Accessories,5,95,25,1,4,40
2025-10-24,ITM-006,Accessories,8,127,40,33,5,40
2025-10-25,ITM-004,Furniture,3,136,45,16,4,40
2025-10-25,ITM-005,Accessories,14,39,90,6,4,40
2025-10-25,ITM-001,Electronics,11,29,400,31,3,40
2025-10-25,ITM-009,Furniture,2,10,450,8,3,40
2025-10-25,ITM-007,Accessories,16,62,25,1,6,40
2025-10-25,ITM-006,Accessories,3,21,40,33,5,40
2025-10-26,ITM-008,Electronics,4,56,300,23,7,40
2025-10-26,ITM-004,Furniture,10,65,45,16,4,40
2025-10-26,ITM-003,Furniture,7,116,150,9,6,40
2025-10-26,ITM-002,Electronics,4,12,800,49,7,40
2025-10-26,ITM-005,Accessories,9,125,90,6,3,40
2025-10-26,ITM-006,Accessories,1,104,40,33,6,40
2025-10-27,ITM-008,Electronics,5,148,300,23,4,40
2025-10-27,ITM-004,Furniture,4,96,45,16,5,40
2025-10-27,ITM-003,Furniture,4,116,150,9,3,40
2025-10-27,ITM-002,Electronics,13,132,800,49,3,40
2025-10-27,ITM-005,Accessories,3,25,90,6,5,40
2025-10-27,ITM-010,Electronics,9,108,200,3,7,40
2025-10-27,ITM-001,Electronics,9,81,400,31,6,40
2025-10-27,ITM-009,Furniture,4,118,450,8,4,40
2025-10-27,ITM-007,Accessories,7,11,25,1,4,40
2025-10-27,ITM-006,Accessories,1,14,40,33,5,40
2025-10-28,ITM-008,Electronics,6,89,300,23,3,40
2025-10-28,ITM-004,Furniture,12,24,45,16,3,40
2025-10-28,ITM-003,Furniture,4,103,150,9,4,40
